lord_id,name,alliance_id,alliance_tag,town_center,home_server,in_power_rankings,power,map_id,units_killed,faction,merits,highest_power,legion_power,tech_power,building_power,hero_power,units_dead,units_healed,city_sieges,defeats,victories,scouted,gold,wood,ore,mana,gems,resources_given,resources_given_count,helps_given,gold_spent,wood_spent,stone_spent,mana_spent,gems_spent,killcount_t5,killcount_t4,killcount_t3,killcount_t2,killcount_t1
8465423,Mizta Farm,197095,-IA-,20,193,True,5583733,193,8961,League of Order,-,5583733,2034636,1097077,1230460,1221560,25512,1616729,-,136,1234,-,562273294,391316658,337496966,22583731,-,592136792,528,6835,359447761,285617181,281166798,47182190,21988,0,3545,3021,2129,266
17438225,Rasska farm 7,197095,-IA-,21,193,True,5568860,193,76,League of Order,-,5568860,1304352,805402,1524186,1934920,1498,435098,-,102,2460,-,210323464,189183149,91743391,30791485,220,226665359,368,2946,469693329,484785209,266459471,75848834,55939,0,0,0,0,0
7559070,ᴹᴵᴺᴵ Arslan ᴵ,197095,-IA-,21,193,True,5497338,193,1634432,Wilderburg,-,5497338,337915,1571365,2114108,1473950,290947,3076525,356,886,2216,456,336377806,279723368,279195065,5750345,297,61698846,63,13598,360565494,354343813,229823818,107575624,34997,13854,75629,104590,585301,741915
18549689,Barylafarm,197095,-IA-,22,193,True,5411004,193,2282,League of Order,684,5411004,996992,573492,2477480,1363040,-,628182,-,128,5131,-,17745611,422601545,582640539,-,-,867265313,305,5412,448881968,809183257,717069492,53925800,9580,0,0,0,0,0
18450192,ᶜᵒᵐᵐᵃⁿᵈᵉʳJimbe,197095,-IA-,23,193,True,5339033,193,-,League of Order,-,5339033,787122,350791,3176180,1024940,-,15671,-,27,83,-,323575682,591382447,360680018,6940952,-,781000083,371,2499,671795634,977385246,565239087,46775950,42125,0,0,0,0,0
8347183,ＳтᴇᴀʟᴛʜʏBean,197095,-IA-,21,193,True,5248023,193,11700,League of Order,-,5248023,1179825,844390,2137178,1086630,41987,939423,-,129,1028,2,31700667,56646088,18948053,10699486,20,253620137,97,2112,448153216,471988067,292397523,63670342,87784,7638,3813,41,168,40
17117524,Sceptre Dorée,201096,~IG~,21,193,True,5041924,193,304,Wilderburg,-,5041924,1225809,1019499,1876696,919920,-,324220,-,15,941,1,1136630178,503709242,156579618,13737895,-,1089600143,487,3103,1225936413,645294709,307264064,65826900,12477,0,0,0,0,0
8222001,Sceptre de bois,201096,~IG~,21,193,True,5004148,193,81,Wilderburg,-,5010316,1183209,941094,1944825,935020,-,224127,-,5,755,1,466242008,1092288327,147657403,16784706,-,991152800,432,2159,632456341,1124560283,270761481,61834100,16275,0,0,0,0,0
15958928,Yaakoub II,201096,~IG~,21,193,True,4976089,193,62845,League of Order,-,4976089,1242424,1253622,1544893,920150,15972,469620,-,29,578,1,1121407865,175936147,90330746,8822726,-,1355415697,672,4796,1383539544,701289075,390504876,85517490,79846,5836,48763,248,5794,2204
17377000,Ai sợ thì đi farm,201096,~IG~,21,193,True,4969973,193,64432,Wilderburg,-,4969973,973596,1135869,1527868,1332640,657,441537,14,147,2328,4,85845951,77985428,72319478,18893083,-,85006844,36,2098,260801919,257090618,163956731,53708009,39190,0,7961,26963,9012,20075
8128939,Eliska,-,-,21,193,True,4899693,193,373453,Springwardens,-,4899693,1099501,741630,2015162,1043400,753,1349185,22,283,2019,19,25179550,20818004,26358079,12456510,-,152310,1,8745,6691000,6479000,4862000,650000,-,0,21478,67611,203721,70304
18356767,farmacphall2,201096,~IG~,21,193,True,4820263,193,-,League of Order,-,4820263,1122224,770512,1660717,1266810,-,71364,-,17,169,-,353718989,361323554,196669161,420000,-,540879119,276,2540,574050942,617490538,323787960,57078340,33893,0,0,0,0,0
17422013,GlaDiAtoR farm 3,201096,~IG~,22,193,True,4762754,193,-,League of Order,-,4762754,943466,425921,2612657,780710,-,62561,-,63,149,-,307609484,387008144,275539922,-,-,-,-,1132,366293160,385228420,229209855,47397600,17202,0,0,0,0,0
15858452,Rasska 3,197095,-IA-,20,193,True,4755110,193,294,Wilderburg,-,4755110,1203822,652311,1211007,1687970,-,355134,-,89,1109,-,124439017,113486507,57853851,16783479,-,62206715,51,1372,315686656,324181029,169888887,43406481,68265,0,0,0,0,0
8098242,RAVIKIRAN9980,-,-,19,193,True,4740422,193,371522,League of Order,-,4740422,1591868,552609,1471095,1124850,27827,2064483,32,667,3977,4,80911095,78291640,58698149,8773071,-,-,-,2618,709200,351200,550600,141000,-,0,3620,32386,202829,82808
